Supplier_ID,Supplier_Name,Ingredient_Code,Ingredient_Name,CAS_Number,Purity,Batch_Number,Physical_State,pH,Toxicity_Profile,Solubility,Stability_Info,Recommended_Usage,Regulatory_Status,Shelf_Life,Lead_Time_for_Delivery,Availability,Cost_per_Unit,Safety_Data_Sheet,Transport_Conditions
SUP_4419,Prime Chemicals,ING_53669,Sodium Hypochlorite,7647-01-0,92.76%,BN_7499_02,Gas,6.26,Non-Toxic,Insoluble,Stable under 25°C,9.26%,Non-Compliant,31 months,9 working days,Limited Stock,₹675.87 / unit,https://supplierportal.com/SDS/8473,Hazardous Material
SUP_6085,Prime Chemicals,ING_89544,Sulfuric Acid,77-92-9,97.67%,BN_1305_02,Solid,13.57,Irritant,Partially soluble,Keep refrigerated,2.99%,Non-Compliant,18 months,14 working days,Out of Stock,₹152.87 / unit,https://supplierportal.com/SDS/9142,Handle with care
SUP_4517,ABC Chemicals Pvt Ltd,ING_57831,Hydrochloric Acid,7681-52-9,91.77%,BN_7565_01,Gas,1.78,Non-Toxic,Insoluble,Avoid sunlight,4.68%,Non-Compliant,13 months,9 working days,Out of Stock,₹341.51 / unit,https://supplierportal.com/SDS/1989,Handle with care
SUP_1573,XYZ Suppliers,ING_86115,Hydrochloric Acid,7647-01-0,91.70%,BN_7109_08,Gas,13.13,Irritant,Insoluble,Avoid sunlight,2.67%,Non-Compliant,19 months,4 working days,Out of Stock,₹919.48 / unit,https://supplierportal.com/SDS/3732,Handle with care
SUP_1710,ABC Chemicals Pvt Ltd,ING_31386,Sodium Hypochlorite,7664-93-9,98.79%,BN_2451_10,Gas,6.33,Irritant,Partially soluble,Keep refrigerated,1.78%,REACH Compliant,14 months,4 working days,Out of Stock,₹598.22 / unit,https://supplierportal.com/SDS/7922,Handle with care
SUP_6423,ABC Chemicals Pvt Ltd,ING_26602,Sulfuric Acid,7681-52-9,95.49%,BN_8204_06,Solid,5.73,Corrosive,Soluble in water,Keep refrigerated,7.64%,Non-Compliant,20 months,5 working days,Out of Stock,₹661.69 / unit,https://supplierportal.com/SDS/2732,Hazardous Material
SUP_8780,ABC Chemicals Pvt Ltd,ING_43239,Hydrochloric Acid,77-92-9,99.80%,BN_5577_11,Gas,4.36,Corrosive,Insoluble,Avoid sunlight,5.94%,Non-Compliant,25 months,13 working days,Limited Stock,₹187.20 / unit,https://supplierportal.com/SDS/6938,Handle with care
SUP_3162,ABC Chemicals Pvt Ltd,ING_76624,Sulfuric Acid,7681-52-9,94.74%,BN_8798_12,Gas,1.06,Corrosive,Soluble in water,Keep refrigerated,4.97%,Non-Compliant,36 months,4 working days,Out of Stock,₹655.11 / unit,https://supplierportal.com/SDS/9727,Fragile
SUP_5643,Global Chem Ltd,ING_76684,Ammonium Chloride,12125-02-9,99.82%,BN_8735_07,Solid,4.78,Irritant,Partially soluble,Keep refrigerated,2.42%,Non-Compliant,11 months,6 working days,Out of Stock,₹689.83 / unit,https://supplierportal.com/SDS/4183,Handle with care
SUP_3362,XYZ Suppliers,ING_81405,Hydrochloric Acid,7647-01-0,94.96%,BN_5149_03,Liquid,3.93,Corrosive,Partially soluble,Stable under 25°C,2.56%,REACH Compliant,22 months,12 working days,Limited Stock,₹393.32 / unit,https://supplierportal.com/SDS/5283,Fragile
SUP_9759,Global Chem Ltd,ING_35802,Sulfuric Acid,77-92-9,90.31%,BN_3332_07,Liquid,11.06,Irritant,Soluble in water,Keep refrigerated,9.17%,REACH Compliant,34 months,8 working days,Out of Stock,₹441.29 / unit,https://supplierportal.com/SDS/6380,Hazardous Material
SUP_4682,Global Chem Ltd,ING_74007,Citric Acid,7664-93-9,90.95%,BN_8755_12,Gas,4.67,Corrosive,Partially soluble,Stable under 25°C,4.55%,REACH Compliant,14 months,13 working days,In Stock,₹746.17 / unit,https://supplierportal.com/SDS/5677,Handle with care
SUP_7673,Global Chem Ltd,ING_39816,Sulfuric Acid,7664-93-9,92.92%,BN_7311_10,Gas,3.86,Corrosive,Insoluble,Avoid sunlight,7.33%,Non-Compliant,14 months,14 working days,In Stock,₹478.48 / unit,https://supplierportal.com/SDS/9073,Hazardous Material
SUP_1687,ABC Chemicals Pvt Ltd,ING_81477,Hydrochloric Acid,77-92-9,95.46%,BN_6469_09,Solid,5.14,Irritant,Soluble in water,Stable under 25°C,3.84%,Non-Compliant,10 months,10 working days,Out of Stock,₹997.63 / unit,https://supplierportal.com/SDS/4833,Handle with care
SUP_1213,Global Chem Ltd,ING_71137,Ammonium Chloride,77-92-9,94.82%,BN_6316_01,Gas,13.4,Irritant,Soluble in water,Keep refrigerated,6.57%,Non-Compliant,19 months,11 working days,Out of Stock,₹215.77 / unit,https://supplierportal.com/SDS/4875,Fragile
SUP_8753,XYZ Suppliers,ING_91360,Sulfuric Acid,7647-01-0,90.10%,BN_4402_08,Gas,13.33,Non-Toxic,Soluble in water,Avoid sunlight,7.85%,REACH Compliant,24 months,13 working days,Limited Stock,₹479.60 / unit,https://supplierportal.com/SDS/5607,Fragile
SUP_5310,Global Chem Ltd,ING_39642,Hydrochloric Acid,7664-93-9,97.09%,BN_9559_09,Gas,4.49,Corrosive,Soluble in water,Stable under 25°C,8.47%,REACH Compliant,32 months,4 working days,In Stock,₹816.65 / unit,https://supplierportal.com/SDS/7844,Fragile
SUP_4080,XYZ Suppliers,ING_79985,Hydrochloric Acid,7647-01-0,90.80%,BN_7600_01,Gas,1.71,Irritant,Soluble in water,Avoid sunlight,6.80%,Non-Compliant,17 months,3 working days,In Stock,₹945.29 / unit,https://supplierportal.com/SDS/4416,Fragile
SUP_6297,XYZ Suppliers,ING_46179,Sodium Hypochlorite,77-92-9,90.60%,BN_2084_12,Gas,8.16,Corrosive,Insoluble,Avoid sunlight,1.84%,Non-Compliant,20 months,11 working days,Out of Stock,₹826.93 / unit,https://supplierportal.com/SDS/5534,Fragile
SUP_1975,ABC Chemicals Pvt Ltd,ING_51787,Hydrochloric Acid,7681-52-9,92.23%,BN_3226_09,Solid,12.3,Corrosive,Partially soluble,Keep refrigerated,3.28%,REACH Compliant,27 months,8 working days,Limited Stock,₹385.09 / unit,https://supplierportal.com/SDS/1649,Fragile
SUP_9235,XYZ Suppliers,ING_39079,Citric Acid,12125-02-9,98.11%,BN_6149_10,Gas,7.73,Irritant,Soluble in water,Keep refrigerated,4.07%,REACH Compliant,6 months,11 working days,Out of Stock,₹656.36 / unit,https://supplierportal.com/SDS/4683,Fragile
SUP_9226,Prime Chemicals,ING_47771,Sodium Hypochlorite,77-92-9,96.11%,BN_7063_10,Liquid,2.9,Corrosive,Soluble in water,Keep refrigerated,4.82%,REACH Compliant,19 months,7 working days,Limited Stock,₹223.83 / unit,https://supplierportal.com/SDS/3539,Hazardous Material
SUP_6177,XYZ Suppliers,ING_99326,Sodium Hypochlorite,7681-52-9,92.46%,BN_5443_10,Solid,1.87,Corrosive,Soluble in water,Stable under 25°C,9.03%,Non-Compliant,24 months,5 working days,In Stock,₹447.94 / unit,https://supplierportal.com/SDS/7608,Fragile
SUP_1255,Prime Chemicals,ING_49970,Citric Acid,77-92-9,99.58%,BN_4803_10,Liquid,13.07,Irritant,Partially soluble,Stable under 25°C,5.16%,REACH Compliant,12 months,3 working days,In Stock,₹133.22 / unit,https://supplierportal.com/SDS/6368,Hazardous Material
SUP_8079,ABC Chemicals Pvt Ltd,ING_83281,Sodium Hypochlorite,7664-93-9,99.60%,BN_8058_06,Liquid,6.7,Corrosive,Partially soluble,Stable under 25°C,8.12%,REACH Compliant,24 months,7 working days,In Stock,₹460.71 / unit,https://supplierportal.com/SDS/5897,Fragile
SUP_3020,Global Chem Ltd,ING_71439,Hydrochloric Acid,7681-52-9,91.64%,BN_6795_02,Gas,11.93,Irritant,Insoluble,Avoid sunlight,6.46%,REACH Compliant,9 months,9 working days,In Stock,₹806.46 / unit,https://supplierportal.com/SDS/7901,Handle with care
SUP_3676,Global Chem Ltd,ING_84313,Hydrochloric Acid,7664-93-9,93.95%,BN_3501_02,Liquid,13.24,Corrosive,Partially soluble,Stable under 25°C,3.46%,Non-Compliant,32 months,11 working days,Out of Stock,₹241.73 / unit,https://supplierportal.com/SDS/3008,Fragile
SUP_7172,Global Chem Ltd,ING_33501,Sodium Hypochlorite,77-92-9,93.55%,BN_4545_04,Liquid,5.93,Irritant,Partially soluble,Stable under 25°C,7.96%,REACH Compliant,11 months,13 working days,In Stock,₹759.64 / unit,https://supplierportal.com/SDS/1941,Handle with care
SUP_2587,ABC Chemicals Pvt Ltd,ING_38373,Citric Acid,7647-01-0,98.78%,BN_4445_06,Liquid,9.38,Corrosive,Insoluble,Stable under 25°C,9.55%,REACH Compliant,18 months,10 working days,In Stock,₹363.73 / unit,https://supplierportal.com/SDS/3164,Hazardous Material
SUP_8144,Prime Chemicals,ING_37170,Sulfuric Acid,12125-02-9,97.01%,BN_9372_02,Gas,8.89,Corrosive,Partially soluble,Avoid sunlight,9.25%,REACH Compliant,33 months,4 working days,Limited Stock,₹532.54 / unit,https://supplierportal.com/SDS/9678,Fragile
SUP_7233,Global Chem Ltd,ING_34694,Hydrochloric Acid,7664-93-9,94.07%,BN_5728_04,Solid,7.89,Non-Toxic,Soluble in water,Stable under 25°C,3.43%,Non-Compliant,30 months,3 working days,Out of Stock,₹949.34 / unit,https://supplierportal.com/SDS/8831,Hazardous Material
SUP_4020,Prime Chemicals,ING_69464,Ammonium Chloride,7681-52-9,91.60%,BN_3997_06,Liquid,5.87,Non-Toxic,Partially soluble,Stable under 25°C,7.06%,REACH Compliant,25 months,13 working days,Limited Stock,₹445.09 / unit,https://supplierportal.com/SDS/5283,Fragile
SUP_6831,XYZ Suppliers,ING_53240,Hydrochloric Acid,7647-01-0,97.73%,BN_3915_04,Gas,8.1,Non-Toxic,Partially soluble,Keep refrigerated,7.11%,Non-Compliant,34 months,9 working days,In Stock,₹244.99 / unit,https://supplierportal.com/SDS/2468,Hazardous Material
SUP_4712,ABC Chemicals Pvt Ltd,ING_11036,Sodium Hypochlorite,7681-52-9,90.21%,BN_2411_09,Solid,9.04,Irritant,Soluble in water,Avoid sunlight,8.91%,REACH Compliant,18 months,12 working days,Limited Stock,₹375.49 / unit,https://supplierportal.com/SDS/9335,Hazardous Material
SUP_5309,ABC Chemicals Pvt Ltd,ING_48412,Sulfuric Acid,12125-02-9,91.96%,BN_3361_12,Solid,8.3,Non-Toxic,Soluble in water,Keep refrigerated,6.30%,REACH Compliant,15 months,10 working days,Limited Stock,₹319.63 / unit,https://supplierportal.com/SDS/4096,Hazardous Material
SUP_9830,Prime Chemicals,ING_63673,Sulfuric Acid,77-92-9,95.58%,BN_6983_03,Gas,8.73,Irritant,Soluble in water,Avoid sunlight,5.28%,Non-Compliant,36 months,11 working days,In Stock,₹383.25 / unit,https://supplierportal.com/SDS/4991,Handle with care
SUP_7942,ABC Chemicals Pvt Ltd,ING_49926,Sodium Hypochlorite,7664-93-9,95.09%,BN_8983_07,Liquid,3.49,Non-Toxic,Partially soluble,Keep refrigerated,7.34%,Non-Compliant,28 months,10 working days,Out of Stock,₹758.42 / unit,https://supplierportal.com/SDS/7159,Hazardous Material
SUP_1465,Global Chem Ltd,ING_22424,Hydrochloric Acid,7647-01-0,92.16%,BN_2176_12,Liquid,3.96,Irritant,Partially soluble,Avoid sunlight,5.11%,Non-Compliant,6 months,8 working days,Limited Stock,₹703.73 / unit,https://supplierportal.com/SDS/3551,Handle with care
SUP_7427,ABC Chemicals Pvt Ltd,ING_38827,Sulfuric Acid,77-92-9,97.58%,BN_8817_03,Solid,9.15,Non-Toxic,Partially soluble,Keep refrigerated,6.81%,Non-Compliant,35 months,13 working days,Limited Stock,₹520.82 / unit,https://supplierportal.com/SDS/5314,Hazardous Material
SUP_4278,Prime Chemicals,ING_93260,Ammonium Chloride,12125-02-9,96.82%,BN_7789_09,Gas,2.53,Irritant,Partially soluble,Keep refrigerated,9.65%,Non-Compliant,23 months,8 working days,In Stock,₹358.04 / unit,https://supplierportal.com/SDS/7178,Hazardous Material
SUP_2012,Global Chem Ltd,ING_31859,Hydrochloric Acid,7664-93-9,94.38%,BN_9338_08,Solid,13.35,Non-Toxic,Insoluble,Stable under 25°C,8.39%,Non-Compliant,23 months,6 working days,In Stock,₹898.16 / unit,https://supplierportal.com/SDS/3465,Hazardous Material
SUP_5429,ABC Chemicals Pvt Ltd,ING_59506,Sodium Hypochlorite,7647-01-0,94.57%,BN_4979_11,Gas,10.7,Irritant,Partially soluble,Keep refrigerated,2.68%,REACH Compliant,26 months,9 working days,Out of Stock,₹210.89 / unit,https://supplierportal.com/SDS/5559,Handle with care
SUP_2678,XYZ Suppliers,ING_85421,Ammonium Chloride,7664-93-9,93.55%,BN_4584_03,Solid,3.11,Corrosive,Insoluble,Keep refrigerated,1.18%,Non-Compliant,8 months,13 working days,Out of Stock,₹421.61 / unit,https://supplierportal.com/SDS/4592,Fragile
SUP_9429,ABC Chemicals Pvt Ltd,ING_64844,Hydrochloric Acid,77-92-9,99.81%,BN_6949_09,Liquid,11.14,Corrosive,Partially soluble,Stable under 25°C,7.93%,Non-Compliant,12 months,14 working days,Out of Stock,₹779.63 / unit,https://supplierportal.com/SDS/5001,Fragile
SUP_3504,Prime Chemicals,ING_34397,Citric Acid,12125-02-9,97.89%,BN_5885_01,Liquid,7.09,Irritant,Soluble in water,Avoid sunlight,7.96%,Non-Compliant,19 months,12 working days,Limited Stock,₹754.31 / unit,https://supplierportal.com/SDS/7206,Hazardous Material
SUP_1458,XYZ Suppliers,ING_91195,Citric Acid,7647-01-0,90.92%,BN_7290_03,Solid,6.45,Non-Toxic,Partially soluble,Stable under 25°C,1.54%,REACH Compliant,7 months,13 working days,Limited Stock,₹431.51 / unit,https://supplierportal.com/SDS/6460,Hazardous Material
SUP_7075,ABC Chemicals Pvt Ltd,ING_11517,Ammonium Chloride,12125-02-9,92.18%,BN_3512_05,Liquid,7.64,Non-Toxic,Insoluble,Stable under 25°C,3.98%,Non-Compliant,16 months,11 working days,In Stock,₹643.35 / unit,https://supplierportal.com/SDS/4801,Hazardous Material
SUP_5013,XYZ Suppliers,ING_71662,Sulfuric Acid,7647-01-0,94.17%,BN_4929_01,Solid,4.35,Non-Toxic,Insoluble,Avoid sunlight,2.54%,Non-Compliant,7 months,10 working days,In Stock,₹246.14 / unit,https://supplierportal.com/SDS/9712,Hazardous Material
SUP_3967,ABC Chemicals Pvt Ltd,ING_46294,Sodium Hypochlorite,12125-02-9,91.54%,BN_8962_07,Gas,9.56,Non-Toxic,Insoluble,Keep refrigerated,5.56%,Non-Compliant,20 months,3 working days,In Stock,₹966.56 / unit,https://supplierportal.com/SDS/7337,Hazardous Material
SUP_8047,Prime Chemicals,ING_19358,Sodium Hypochlorite,7664-93-9,95.35%,BN_5905_05,Solid,2.38,Corrosive,Partially soluble,Stable under 25°C,8.30%,Non-Compliant,13 months,11 working days,Out of Stock,₹278.39 / unit,https://supplierportal.com/SDS/3793,Fragile
SUP_8378,Prime Chemicals,ING_68790,Sodium Hypochlorite,7647-01-0,96.40%,BN_5486_04,Solid,2.86,Irritant,Soluble in water,Avoid sunlight,8.21%,Non-Compliant,6 months,14 working days,Limited Stock,₹177.47 / unit,https://supplierportal.com/SDS/6442,Fragile
SUP_1261,XYZ Suppliers,ING_98149,Hydrochloric Acid,7681-52-9,93.39%,BN_4424_01,Solid,6.47,Non-Toxic,Partially soluble,Keep refrigerated,4.38%,Non-Compliant,22 months,7 working days,Out of Stock,₹661.83 / unit,https://supplierportal.com/SDS/9188,Handle with care
SUP_5875,Prime Chemicals,ING_78143,Ammonium Chloride,12125-02-9,94.63%,BN_2144_08,Liquid,7.87,Non-Toxic,Insoluble,Keep refrigerated,1.44%,Non-Compliant,11 months,3 working days,In Stock,₹961.03 / unit,https://supplierportal.com/SDS/3883,Fragile
SUP_9328,XYZ Suppliers,ING_69866,Sodium Hypochlorite,7647-01-0,92.42%,BN_4493_03,Solid,3.84,Non-Toxic,Soluble in water,Keep refrigerated,9.75%,Non-Compliant,35 months,11 working days,In Stock,₹187.79 / unit,https://supplierportal.com/SDS/5246,Hazardous Material
SUP_7513,ABC Chemicals Pvt Ltd,ING_53266,Ammonium Chloride,12125-02-9,93.57%,BN_1256_05,Liquid,5.48,Corrosive,Partially soluble,Stable under 25°C,4.33%,REACH Compliant,23 months,11 working days,Out of Stock,₹596.28 / unit,https://supplierportal.com/SDS/4274,Fragile
SUP_6912,XYZ Suppliers,ING_13053,Ammonium Chloride,7647-01-0,95.18%,BN_7711_11,Liquid,6.09,Corrosive,Partially soluble,Keep refrigerated,2.53%,REACH Compliant,34 months,14 working days,Limited Stock,₹802.43 / unit,https://supplierportal.com/SDS/7566,Handle with care
SUP_4183,ABC Chemicals Pvt Ltd,ING_73812,Hydrochloric Acid,12125-02-9,91.92%,BN_3524_08,Solid,10.3,Corrosive,Partially soluble,Keep refrigerated,2.33%,REACH Compliant,7 months,8 working days,Out of Stock,₹966.76 / unit,https://supplierportal.com/SDS/5558,Hazardous Material
SUP_1430,XYZ Suppliers,ING_70707,Ammonium Chloride,7681-52-9,96.90%,BN_2836_10,Gas,8.45,Irritant,Soluble in water,Keep refrigerated,1.24%,REACH Compliant,6 months,5 working days,Limited Stock,₹615.94 / unit,https://supplierportal.com/SDS/3396,Handle with care
SUP_6989,XYZ Suppliers,ING_56414,Sodium Hypochlorite,77-92-9,99.78%,BN_7436_01,Liquid,6.63,Corrosive,Soluble in water,Stable under 25°C,6.07%,Non-Compliant,25 months,13 working days,Limited Stock,₹527.69 / unit,https://supplierportal.com/SDS/9180,Hazardous Material
SUP_3379,Prime Chemicals,ING_99947,Hydrochloric Acid,7647-01-0,90.09%,BN_8077_02,Gas,2,Corrosive,Partially soluble,Avoid sunlight,2.80%,REACH Compliant,26 months,5 working days,In Stock,₹313.17 / unit,https://supplierportal.com/SDS/6592,Hazardous Material
SUP_1687,ABC Chemicals Pvt Ltd,ING_27939,Sulfuric Acid,12125-02-9,91.47%,BN_8157_08,Solid,11.6,Non-Toxic,Partially soluble,Avoid sunlight,9.43%,REACH Compliant,6 months,8 working days,In Stock,₹147.17 / unit,https://supplierportal.com/SDS/9054,Handle with care
SUP_9347,XYZ Suppliers,ING_88339,Citric Acid,12125-02-9,96.88%,BN_9290_12,Liquid,2.67,Corrosive,Insoluble,Stable under 25°C,2.31%,REACH Compliant,10 months,4 working days,In Stock,₹641.94 / unit,https://supplierportal.com/SDS/8107,Hazardous Material
SUP_3585,Prime Chemicals,ING_52506,Sodium Hypochlorite,7681-52-9,92.13%,BN_8248_02,Solid,3.53,Corrosive,Insoluble,Keep refrigerated,8.53%,REACH Compliant,16 months,10 working days,Out of Stock,₹499.84 / unit,https://supplierportal.com/SDS/7650,Fragile
SUP_9971,Prime Chemicals,ING_80618,Sulfuric Acid,12125-02-9,91.47%,BN_8521_10,Solid,7.31,Irritant,Soluble in water,Avoid sunlight,3.94%,REACH Compliant,12 months,12 working days,Out of Stock,₹102.80 / unit,https://supplierportal.com/SDS/6628,Fragile
SUP_8851,ABC Chemicals Pvt Ltd,ING_52760,Sulfuric Acid,7681-52-9,97.23%,BN_1318_08,Liquid,6.04,Corrosive,Partially soluble,Avoid sunlight,3.48%,REACH Compliant,19 months,6 working days,Out of Stock,₹118.63 / unit,https://supplierportal.com/SDS/7528,Hazardous Material
SUP_3773,Global Chem Ltd,ING_17181,Sodium Hypochlorite,12125-02-9,92.63%,BN_9898_05,Solid,9.8,Non-Toxic,Soluble in water,Keep refrigerated,6.97%,Non-Compliant,11 months,3 working days,In Stock,₹650.14 / unit,https://supplierportal.com/SDS/7343,Fragile
SUP_1038,ABC Chemicals Pvt Ltd,ING_49218,Sodium Hypochlorite,77-92-9,93.70%,BN_2536_01,Liquid,5.22,Non-Toxic,Insoluble,Stable under 25°C,7.81%,Non-Compliant,11 months,4 working days,In Stock,₹126.79 / unit,https://supplierportal.com/SDS/4352,Fragile
SUP_1327,ABC Chemicals Pvt Ltd,ING_70455,Sodium Hypochlorite,7681-52-9,95.47%,BN_6906_12,Liquid,2.71,Irritant,Partially soluble,Avoid sunlight,1.84%,REACH Compliant,16 months,3 working days,Limited Stock,₹601.11 / unit,https://supplierportal.com/SDS/8984,Fragile
SUP_7849,Prime Chemicals,ING_67668,Ammonium Chloride,7664-93-9,97.54%,BN_4061_09,Liquid,9.17,Non-Toxic,Partially soluble,Avoid sunlight,9.58%,Non-Compliant,30 months,8 working days,In Stock,₹424.39 / unit,https://supplierportal.com/SDS/8101,Handle with care
SUP_5996,Global Chem Ltd,ING_29143,Citric Acid,12125-02-9,98.40%,BN_4018_07,Solid,8.13,Non-Toxic,Partially soluble,Avoid sunlight,6.35%,REACH Compliant,32 months,8 working days,Limited Stock,₹457.82 / unit,https://supplierportal.com/SDS/8185,Fragile
SUP_8442,Global Chem Ltd,ING_80438,Hydrochloric Acid,7647-01-0,92.44%,BN_3889_02,Gas,9.06,Non-Toxic,Partially soluble,Keep refrigerated,6.53%,Non-Compliant,22 months,10 working days,In Stock,₹266.46 / unit,https://supplierportal.com/SDS/1826,Fragile
SUP_5642,XYZ Suppliers,ING_21179,Hydrochloric Acid,7664-93-9,92.27%,BN_2187_08,Gas,10.7,Irritant,Soluble in water,Avoid sunlight,3.98%,REACH Compliant,17 months,10 working days,Out of Stock,₹916.09 / unit,https://supplierportal.com/SDS/6739,Hazardous Material
SUP_8720,ABC Chemicals Pvt Ltd,ING_36588,Sodium Hypochlorite,7647-01-0,92.30%,BN_1450_03,Solid,12.58,Irritant,Soluble in water,Keep refrigerated,6.24%,REACH Compliant,10 months,13 working days,Limited Stock,₹785.90 / unit,https://supplierportal.com/SDS/6735,Fragile
SUP_2925,XYZ Suppliers,ING_18738,Sodium Hypochlorite,7647-01-0,98.81%,BN_3379_11,Solid,9.33,Non-Toxic,Insoluble,Avoid sunlight,7.21%,REACH Compliant,27 months,7 working days,Limited Stock,₹906.06 / unit,https://supplierportal.com/SDS/1150,Fragile
SUP_6295,XYZ Suppliers,ING_96246,Ammonium Chloride,7681-52-9,94.58%,BN_7069_02,Solid,6.43,Non-Toxic,Partially soluble,Stable under 25°C,7.51%,REACH Compliant,25 months,13 working days,In Stock,₹724.59 / unit,https://supplierportal.com/SDS/3145,Fragile
SUP_9212,XYZ Suppliers,ING_69243,Sodium Hypochlorite,12125-02-9,93.58%,BN_4876_09,Solid,12.59,Non-Toxic,Soluble in water,Avoid sunlight,5.49%,REACH Compliant,23 months,10 working days,Out of Stock,₹996.14 / unit,https://supplierportal.com/SDS/5398,Hazardous Material
SUP_7934,Prime Chemicals,ING_25756,Sodium Hypochlorite,12125-02-9,96.71%,BN_5814_11,Solid,12.7,Corrosive,Soluble in water,Keep refrigerated,3.41%,Non-Compliant,18 months,14 working days,In Stock,₹149.38 / unit,https://supplierportal.com/SDS/1685,Handle with care
SUP_5910,Prime Chemicals,ING_48948,Sulfuric Acid,7681-52-9,91.14%,BN_1592_03,Liquid,4.75,Irritant,Soluble in water,Stable under 25°C,3.83%,REACH Compliant,16 months,9 working days,Limited Stock,₹813.52 / unit,https://supplierportal.com/SDS/8973,Fragile
SUP_6501,ABC Chemicals Pvt Ltd,ING_57089,Ammonium Chloride,7664-93-9,96.41%,BN_3521_10,Liquid,4.17,Corrosive,Soluble in water,Keep refrigerated,9.24%,Non-Compliant,33 months,5 working days,Out of Stock,₹543.64 / unit,https://supplierportal.com/SDS/5899,Hazardous Material
SUP_7800,XYZ Suppliers,ING_28056,Ammonium Chloride,12125-02-9,91.02%,BN_7527_07,Solid,3.31,Irritant,Insoluble,Stable under 25°C,4.31%,Non-Compliant,35 months,9 working days,Out of Stock,₹715.44 / unit,https://supplierportal.com/SDS/3360,Hazardous Material
SUP_4065,Global Chem Ltd,ING_82299,Sodium Hypochlorite,12125-02-9,95.19%,BN_2363_06,Solid,3.47,Corrosive,Soluble in water,Keep refrigerated,5.14%,Non-Compliant,12 months,10 working days,In Stock,₹437.24 / unit,https://supplierportal.com/SDS/6696,Handle with care
SUP_3234,Global Chem Ltd,ING_30265,Sulfuric Acid,7681-52-9,90.09%,BN_9613_11,Gas,6.82,Corrosive,Insoluble,Avoid sunlight,9.38%,Non-Compliant,12 months,13 working days,Out of Stock,₹555.43 / unit,https://supplierportal.com/SDS/8371,Handle with care
SUP_6734,XYZ Suppliers,ING_15986,Sodium Hypochlorite,7664-93-9,94.26%,BN_6888_02,Solid,8.48,Irritant,Soluble in water,Keep refrigerated,1.21%,Non-Compliant,29 months,12 working days,Limited Stock,₹523.49 / unit,https://supplierportal.com/SDS/4972,Handle with care
SUP_2616,ABC Chemicals Pvt Ltd,ING_84107,Sodium Hypochlorite,12125-02-9,97.78%,BN_4877_03,Gas,3.64,Corrosive,Partially soluble,Stable under 25°C,6.22%,Non-Compliant,16 months,12 working days,In Stock,₹495.94 / unit,https://supplierportal.com/SDS/1003,Fragile
SUP_4248,XYZ Suppliers,ING_96546,Hydrochloric Acid,7647-01-0,95.54%,BN_3164_02,Liquid,12.35,Non-Toxic,Partially soluble,Avoid sunlight,7.09%,Non-Compliant,19 months,11 working days,Out of Stock,₹716.97 / unit,https://supplierportal.com/SDS/7079,Fragile
SUP_4525,Global Chem Ltd,ING_81662,Sodium Hypochlorite,7681-52-9,97.13%,BN_6162_03,Liquid,1.11,Corrosive,Insoluble,Avoid sunlight,4.32%,Non-Compliant,7 months,4 working days,Out of Stock,₹768.41 / unit,https://supplierportal.com/SDS/8513,Handle with care
SUP_9746,Global Chem Ltd,ING_77900,Sodium Hypochlorite,7647-01-0,97.81%,BN_5972_02,Gas,10.86,Corrosive,Soluble in water,Keep refrigerated,8.16%,REACH Compliant,8 months,3 working days,Limited Stock,₹139.01 / unit,https://supplierportal.com/SDS/2452,Handle with care
SUP_7801,Global Chem Ltd,ING_86171,Sodium Hypochlorite,7681-52-9,92.11%,BN_5752_07,Liquid,5.72,Irritant,Insoluble,Keep refrigerated,5.77%,REACH Compliant,23 months,12 working days,In Stock,₹639.52 / unit,https://supplierportal.com/SDS/9708,Fragile
SUP_3688,XYZ Suppliers,ING_21085,Ammonium Chloride,7681-52-9,98.20%,BN_8930_11,Gas,8.76,Corrosive,Soluble in water,Keep refrigerated,9.48%,REACH Compliant,31 months,10 working days,Limited Stock,₹409.20 / unit,https://supplierportal.com/SDS/2629,Fragile
SUP_7745,XYZ Suppliers,ING_20213,Sulfuric Acid,12125-02-9,97.72%,BN_2385_04,Solid,9.16,Non-Toxic,Insoluble,Stable under 25°C,8.00%,Non-Compliant,22 months,11 working days,In Stock,₹485.20 / unit,https://supplierportal.com/SDS/2964,Handle with care
SUP_2053,Global Chem Ltd,ING_83370,Sodium Hypochlorite,12125-02-9,95.26%,BN_9631_07,Liquid,6.15,Irritant,Partially soluble,Keep refrigerated,2.43%,Non-Compliant,24 months,8 working days,Out of Stock,₹640.20 / unit,https://supplierportal.com/SDS/3952,Fragile
SUP_9588,ABC Chemicals Pvt Ltd,ING_97030,Citric Acid,7664-93-9,95.65%,BN_8976_07,Gas,5.36,Corrosive,Partially soluble,Keep refrigerated,2.45%,REACH Compliant,33 months,13 working days,In Stock,₹169.48 / unit,https://supplierportal.com/SDS/1873,Hazardous Material
SUP_5680,ABC Chemicals Pvt Ltd,ING_27042,Hydrochloric Acid,7647-01-0,98.01%,BN_6701_08,Solid,7.7,Irritant,Insoluble,Keep refrigerated,5.22%,Non-Compliant,10 months,13 working days,Limited Stock,₹952.79 / unit,https://supplierportal.com/SDS/1973,Fragile
